"rep","cell","grouping","S_dec","S_edge","tr_OmMLE","df_edge","S_dec_unc","tr_OmK","p_dec","p_edge","df_M","trV_M","v_hat","r2_hat","gamma_hat","df_F","trV_F","trW","norm_bhat","norm_btilde"
1,"A_n500_p5_lam100","random",3.89297411577053,1.88229181301306,7.9576466909157,2.00936547995759,19.7073202939463,8.19210315010628,0.866379654660304,0.392463131224527,3.6580356799059,118.798117275806,0.237596234551612,0.222331622769579,0.0307920341145918,6,118.244068468172,119.667300813524,0.421832267714272,0.80709929302086
1,"A_n500_p5_lam100","oracle",5.35094626668857,0.518448509988103,7.98761547543817,2.01427818409405,19.9068198372406,8.21690031299327,0.719818963135771,0.783417032312581,3.6580356799059,118.798117275806,0.237596234551612,0.222331622769579,0.0307920341145918,6,118.244068468172,119.667300813524,0.421832267714272,0.80709929302086
1,"A_n500_p5_lam100","debiased",3.65390283840644,1.10954181053161,7.96772670258033,2.0126844100686,18.6482815017847,8.20112013062996,0.887254869020448,0.581086858966629,3.6580356799059,118.798117275806,0.237596234551612,0.222331622769579,0.0307920341145918,6,118.244068468172,119.667300813524,0.421832267714272,0.80709929302086
2,"A_n500_p5_lam100","random",11.6296064799882,1.45272788194814,7.98341097994203,2.03153453658439,27.7548390667177,8.20689801599612,0.166429674816281,0.492292868009902,3.71670728154646,118.324976053508,0.236649952107017,0.22023928306992,0.031411012328164,6,117.788013891216,119.203965501047,0.437708040314667,0.827817387795722
2,"A_n500_p5_lam100","oracle",9.5602908590009,2.48683559323249,7.98796005167033,2.03701393366882,25.1668173127193,8.20620363757743,0.295555927441346,0.293770611912081,3.71670728154646,118.324976053508,0.236649952107017,0.22023928306992,0.031411012328164,6,117.788013891216,119.203965501047,0.437708040314667,0.827817387795722
2,"A_n500_p5_lam100","debiased",12.6822408321132,1.02458958659321,8.00156745004661,2.03276778994276,28.1315554054048,8.22218285550067,0.122461605177819,0.610655934072387,3.71670728154646,118.324976053508,0.236649952107017,0.22023928306992,0.031411012328164,6,117.788013891216,119.203965501047,0.437708040314667,0.827817387795722
3,"A_n500_p5_lam100","random",4.48211065499361,0.570265178925997,7.94903956959904,2.01358164389583,16.7767894904545,8.16977591433482,0.810029477935111,0.764546818793615,3.7026717145485,120.539588461977,0.241079176923954,0.231261628003026,0.0307174743318165,6,119.986769347283,121.433118619762,0.34269517638392,0.635429862156892
3,"A_n500_p5_lam100","oracle",5.95626859744924,4.27627587773979,7.95986628574839,1.99599740984617,17.4456266440933,8.18003180031479,0.649862601309203,0.114696791147764,3.7026717145485,120.539588461977,0.241079176923954,0.231261628003026,0.0307174743318165,6,119.986769347283,121.433118619762,0.34269517638392,0.635429862156892
3,"A_n500_p5_lam100","debiased",6.10688401007415,0.528384037746834,7.94581097539681,2.01458813098051,18.438002503486,8.16843244163705,0.631595681225316,0.781042152252058,3.7026717145485,120.539588461977,0.241079176923954,0.231261628003026,0.0307174743318165,6,119.986769347283,121.433118619762,0.34269517638392,0.635429862156892
4,"A_n500_p5_lam100","random",17.114810805694,0.823920745307426,7.99478373002903,2.02892133400469,35.3497138185939,8.19740042501134,0.0283908248772254,0.674259199894615,3.7354600242907,117.826057456039,0.235652114912078,0.218790227156052,0.0317031741954397,6,117.295333434943,118.705511784165,0.440403137320376,0.802446783816938
